AddressID,Country,City,State,PostalCode,Region
CG-12520A3,United States,Henderson,Kentucky,42420,South
DV-13045A1,United States,Los Angeles,California,90036,West
SO-20335A4,United States,Fort Lauderdale,Florida,33311,South
BH-11710A3,United States,Los Angeles,California,90032,West
AA-10480A2,United States,Concord,North Carolina,28027,South
IM-15070A2,United States,Seattle,Washington,98103,West
HP-14815A6,United States,Fort Worth,Texas,76106,Central
PK-19075A8,United States,Madison,Wisconsin,53711,Central
AG-10270A1,United States,West Jordan,Utah,84084,West
ZD-21925A3,United States,San Francisco,California,94109,West
KB-16585A6,United States,Fremont,Nebraska,68025,Central
SF-20065A7,United States,Philadelphia,Pennsylvania,19140,East
EB-13870A4,United States,Orem,Utah,84057,West
EH-13945A5,United States,Los Angeles,California,90049,West
TB-21520A1,United States,Philadelphia,Pennsylvania,19140,East
MA-17560A1,United States,Houston,Texas,77095,Central
GH-14485A2,United States,Richardson,Texas,75080,Central
SN-20710A6,United States,Houston,Texas,77041,Central
LC-16930A4,United States,Naperville,Illinois,60540,Central
RA-19885A4,United States,Los Angeles,California,90049,West
ES-14080A4,United States,Melbourne,Florida,32935,South
ON-18715A8,United States,Eagan,Minnesota,55122,Central
PO-18865A5,United States,Westland,Michigan,48185,Central
LH-16900A4,United States,Dover,Delaware,19901,East
DP-13000A1,United States,New Albany,Indiana,47150,Central
JM-15265A2,United States,New York City,New York,10024,East
TB-21055A3,United States,Troy,New York,12180,East
KM-16720A2,United States,Los Angeles,California,90004,West
PS-18970A7,United States,Chicago,Illinois,60610,Central
BS-11590A2,United States,Gilbert,Arizona,85234,West
KD-16270A3,United States,Springfield,Virginia,22153,South
HM-14980A1,United States,New York City,New York,10009,East
TB-21520A4,United States,Jackson,Michigan,49201,Central
JE-15745A11,United States,Memphis,Tennessee,38109,South
KB-16600A6,United States,Houston,Texas,77041,Central
JE-15745A6,United States,Houston,Texas,77070,Central
SC-20770A2,United States,Decatur,Alabama,35601,South
DN-13690A5,United States,San Francisco,California,94122,West
JC-16105A1,United States,Durham,North Carolina,27707,South
CS-12400A8,United States,Chicago,Illinois,60623,Central
PO-18865A3,United States,Columbia,South Carolina,29203,South
PG-18895A3,United States,Rochester,Minnesota,55901,Central
GM-14455A6,United States,Houston,Texas,77095,Central
JS-15685A3,United States,Los Angeles,California,90036,West
KB-16315A6,United States,Minneapolis,Minnesota,55407,Central
RB-19705A1,United States,Portland,Oregon,97206,West
PN-18775A6,United States,New York City,New York,10009,East
KD-16345A3,United States,San Francisco,California,94122,West
ER-13855A3,United States,Saint Paul,Minnesota,55106,Central
RB-19465A11,United States,Chicago,Illinois,60610,Central
GZ-14470A8,United States,Rochester,Minnesota,55901,Central
LC-16870A5,United States,Aurora,Colorado,80013,West
JM-15250A1,United States,Charlotte,North Carolina,28205,South
PA-19060A4,United States,Orland Park,Illinois,60462,Central
CV-12805A8,United States,New York City,New York,10035,East
CL-12565A4,United States,Urbandale,Iowa,50322,Central
RC-19960A1,United States,Columbus,Ohio,43229,East
DK-13090A3,United States,Seattle,Washington,98103,West
GG-14650A3,United States,Bristol,Tennessee,37620,South
SC-20725A4,United States,Wilmington,Delaware,19805,East
AD-10180A8,United States,Houston,Texas,77041,Central
PF-19165A4,United States,Bloomington,Illinois,61701,Central
TS-21610A2,United States,Phoenix,Arizona,85023,West
LS-16975A6,United States,Los Angeles,California,90004,West
DW-13585A6,United States,Columbus,Ohio,43229,East
LC-16885A10,United States,Roseville,California,95661,West
JD-15895A3,United States,Philadelphia,Pennsylvania,19140,East
SH-19975A12,United States,San Francisco,California,94122,West
SG-20080A1,United States,Independence,Missouri,64055,Central
HA-14920A2,United States,Pasadena,California,91104,West
MG-17680A1,United States,Newark,Ohio,43055,East
JE-16165A3,United States,Franklin,Wisconsin,53132,Central
TW-21025A1,United States,Scottsdale,Arizona,85254,West
SP-20650A4,United States,San Jose,California,95123,West
NK-18490A2,United States,Seattle,Washington,98105,West
DB-13060A6,United States,Seattle,Washington,98115,West
NP-18670A1,United States,Edmond,Oklahoma,73034,Central
TT-21070A1,United States,Los Angeles,California,90045,West
EM-13960A4,United States,Philadelphia,Pennsylvania,19134,East
RD-19900A1,United States,Carlsbad,New Mexico,88220,West
MJ-17740A4,United States,Seattle,Washington,98115,West
BM-11140A1,United States,San Antonio,Texas,78207,Central
CS-12130A3,United States,Los Angeles,California,90004,West
JB-15400A1,United States,Chicago,Illinois,60623,Central
SJ-20500A2,United States,Houston,Texas,77036,Central
JE-15745A8,United States,Newark,Ohio,43055,East
JK-15640A3,United States,New York City,New York,10009,East
DK-13150A1,United States,Decatur,Illinois,62521,Central
