,OrderID,ShipDate,ShipMode,CustomerID,AddressID,OrderDate
0,CA-2016-152156,2016-11-11,Second Class,CG-12520,CG-12520A3,2016-11-08
1,CA-2016-138688,2016-06-16,Second Class,DV-13045,DV-13045A1,2016-11-08
2,US-2015-108966,2015-10-18,Standard Class,SO-20335,SO-20335A4,2016-06-12
3,CA-2014-115812,2014-06-14,Standard Class,BH-11710,BH-11710A3,2015-10-11
4,CA-2017-114412,2017-04-20,Standard Class,AA-10480,AA-10480A2,2015-10-11
5,CA-2016-161389,2016-12-10,Standard Class,IM-15070,IM-15070A2,2014-06-09
6,US-2015-118983,2015-11-26,Standard Class,HP-14815,HP-14815A6,2014-06-09
7,CA-2014-105893,2014-11-18,Standard Class,PK-19075,PK-19075A8,2014-06-09
8,CA-2014-167164,2014-05-15,Second Class,AG-10270,AG-10270A1,2014-06-09
9,CA-2014-143336,2014-09-01,Second Class,ZD-21925,ZD-21925A3,2014-06-09
10,CA-2016-137330,2016-12-13,Standard Class,KB-16585,KB-16585A6,2014-06-09
11,US-2017-156909,2017-07-18,Second Class,SF-20065,SF-20065A7,2014-06-09
12,CA-2015-106320,2015-09-30,Standard Class,EB-13870,EB-13870A4,2017-04-15
13,CA-2016-121755,2016-01-20,Second Class,EH-13945,EH-13945A5,2016-12-05
14,US-2015-150630,2015-09-21,Standard Class,TB-21520,TB-21520A1,2015-11-22
15,CA-2017-107727,2017-10-23,Second Class,MA-17560,MA-17560A1,2015-11-22
16,CA-2016-117590,2016-12-10,First Class,GH-14485,GH-14485A2,2014-11-11
17,CA-2015-117415,2015-12-31,Standard Class,SN-20710,SN-20710A6,2014-05-13
18,CA-2017-120999,2017-09-15,Standard Class,LC-16930,LC-16930A4,2014-08-27
19,CA-2016-101343,2016-07-22,Standard Class,RA-19885,RA-19885A4,2014-08-27
20,CA-2017-139619,2017-09-23,Standard Class,ES-14080,ES-14080A4,2014-08-27
21,CA-2016-118255,2016-03-13,First Class,ON-18715,ON-18715A8,2016-12-09
