OrderID,OrderDate,ShipDate,ShipMode,CustomerID,AddressID
CA-2016-152156,2016-11-11,2016-11-11,Second Class,CG-12520,CG-12520A3
CA-2016-138688,2016-06-16,2016-06-16,Second Class,DV-13045,DV-13045A1
US-2015-108966,2015-10-18,2015-10-18,Standard Class,SO-20335,SO-20335A4
CA-2014-115812,2014-06-14,2014-06-14,Standard Class,BH-11710,BH-11710A3
CA-2017-114412,2017-04-20,2017-04-20,Standard Class,AA-10480,AA-10480A2
CA-2016-161389,2016-12-10,2016-12-10,Standard Class,IM-15070,IM-15070A2
US-2015-118983,2015-11-26,2015-11-26,Standard Class,HP-14815,HP-14815A6
CA-2014-105893,2014-11-18,2014-11-18,Standard Class,PK-19075,PK-19075A8
CA-2014-167164,2014-05-15,2014-05-15,Second Class,AG-10270,AG-10270A1
CA-2014-143336,2014-09-01,2014-09-01,Second Class,ZD-21925,ZD-21925A3
CA-2016-137330,2016-12-13,2016-12-13,Standard Class,KB-16585,KB-16585A6
US-2017-156909,2017-07-18,2017-07-18,Second Class,SF-20065,SF-20065A7
CA-2015-106320,2015-09-30,2015-09-30,Standard Class,EB-13870,EB-13870A4
CA-2016-121755,2016-01-20,2016-01-20,Second Class,EH-13945,EH-13945A5
US-2015-150630,2015-09-21,2015-09-21,Standard Class,TB-21520,TB-21520A1
CA-2017-107727,2017-10-23,2017-10-23,Second Class,MA-17560,MA-17560A1
CA-2016-117590,2016-12-10,2016-12-10,First Class,GH-14485,GH-14485A2
CA-2015-117415,2015-12-31,2015-12-31,Standard Class,SN-20710,SN-20710A6
CA-2017-120999,2017-09-15,2017-09-15,Standard Class,LC-16930,LC-16930A4
CA-2016-101343,2016-07-22,2016-07-22,Standard Class,RA-19885,RA-19885A4
CA-2017-139619,2017-09-23,2017-09-23,Standard Class,ES-14080,ES-14080A4
CA-2016-118255,2016-03-13,2016-03-13,First Class,ON-18715,ON-18715A8
CA-2014-146703,2014-10-25,2014-10-25,Second Class,PO-18865,PO-18865A5
CA-2016-169194,2016-06-25,2016-06-25,Standard Class,LH-16900,LH-16900A4
CA-2015-115742,2015-04-22,2015-04-22,Standard Class,DP-13000,DP-13000A1
CA-2016-105816,2016-12-17,2016-12-17,Standard Class,JM-15265,JM-15265A2
CA-2016-111682,2016-06-18,2016-06-18,First Class,TB-21055,TB-21055A3
CA-2015-135545,2015-11-30,2015-11-30,Standard Class,KM-16720,KM-16720A2
US-2015-164175,2015-05-05,2015-05-05,Standard Class,PS-18970,PS-18970A7
CA-2014-106376,2014-12-10,2014-12-10,Standard Class,BS-11590,BS-11590A2
CA-2016-119823,2016-06-06,2016-06-06,First Class,KD-16270,KD-16270A3
CA-2016-106075,2016-09-23,2016-09-23,Standard Class,HM-14980,HM-14980A1
CA-2017-114440,2017-09-17,2017-09-17,Second Class,TB-21520,TB-21520A4
US-2015-134026,2015-05-02,2015-05-02,Standard Class,JE-15745,JE-15745A11
US-2017-118038,2017-12-11,2017-12-11,First Class,KB-16600,KB-16600A6
US-2014-147606,2014-12-01,2014-12-01,Second Class,JE-15745,JE-15745A6
CA-2016-127208,2016-06-15,2016-06-15,First Class,SC-20770,SC-20770A2
CA-2014-139451,2014-10-16,2014-10-16,Standard Class,DN-13690,DN-13690A5
CA-2015-149734,2015-09-08,2015-09-08,Standard Class,JC-16105,JC-16105A1
US-2017-119662,2017-11-16,2017-11-16,First Class,CS-12400,CS-12400A8
CA-2017-140088,2017-05-30,2017-05-30,Second Class,PO-18865,PO-18865A3
CA-2017-155558,2017-11-02,2017-11-02,Standard Class,PG-18895,PG-18895A3
CA-2016-159695,2016-04-10,2016-04-10,Second Class,GM-14455,GM-14455A6
CA-2016-109806,2016-09-22,2016-09-22,Standard Class,JS-15685,JS-15685A3
CA-2015-149587,2015-02-05,2015-02-05,Second Class,KB-16315,KB-16315A6
US-2017-109484,2017-11-12,2017-11-12,Standard Class,RB-19705,RB-19705A1
CA-2017-161018,2017-11-11,2017-11-11,Second Class,PN-18775,PN-18775A6
CA-2017-157833,2017-06-20,2017-06-20,First Class,KD-16345,KD-16345A3
CA-2016-149223,2016-09-11,2016-09-11,Standard Class,ER-13855,ER-13855A3
CA-2016-158568,2016-09-02,2016-09-02,Standard Class,RB-19465,RB-19465A11
CA-2016-129903,2016-12-04,2016-12-04,Second Class,GZ-14470,GZ-14470A8
US-2015-156867,2015-11-17,2015-11-17,Standard Class,LC-16870,LC-16870A5
CA-2017-119004,2017-11-28,2017-11-28,Standard Class,JM-15250,JM-15250A1
CA-2015-129476,2015-10-20,2015-10-20,Standard Class,PA-19060,PA-19060A4
CA-2017-146780,2017-12-30,2017-12-30,Standard Class,CV-12805,CV-12805A8
CA-2016-128867,2016-11-10,2016-11-10,Standard Class,CL-12565,CL-12565A4
CA-2014-115259,2014-08-27,2014-08-27,Second Class,RC-19960,RC-19960A1
CA-2015-110457,2015-03-06,2015-03-06,Standard Class,DK-13090,DK-13090A3
US-2015-136476,2015-04-10,2015-04-10,Standard Class,GG-14650,GG-14650A3
CA-2016-103730,2016-06-15,2016-06-15,First Class,SC-20725,SC-20725A4
US-2014-152030,2014-12-28,2014-12-28,Second Class,AD-10180,AD-10180A8
US-2014-134614,2014-09-25,2014-09-25,Standard Class,PF-19165,PF-19165A4
US-2017-107272,2017-11-12,2017-11-12,Standard Class,TS-21610,TS-21610A2
US-2016-125969,2016-11-10,2016-11-10,Second Class,LS-16975,LS-16975A6
US-2017-164147,2017-02-05,2017-02-05,First Class,DW-13585,DW-13585A6
CA-2016-145583,2016-10-19,2016-10-19,Standard Class,LC-16885,LC-16885A10
CA-2016-110366,2016-09-07,2016-09-07,Second Class,JD-15895,JD-15895A3
CA-2017-106180,2017-09-23,2017-09-23,Standard Class,SH-19975,SH-19975A12
CA-2017-155376,2017-12-27,2017-12-27,Standard Class,SG-20080,SG-20080A1
CA-2015-110744,2015-09-12,2015-09-12,Standard Class,HA-14920,HA-14920A2
CA-2014-110072,2014-10-28,2014-10-28,Standard Class,MG-17680,MG-17680A1
CA-2016-114489,2016-12-09,2016-12-09,Standard Class,JE-16165,JE-16165A3
CA-2016-158834,2016-03-16,2016-03-16,First Class,TW-21025,TW-21025A1
CA-2015-124919,2015-06-02,2015-06-02,First Class,SP-20650,SP-20650A4
CA-2015-118948,2015-06-03,2015-06-03,Standard Class,NK-18490,NK-18490A2
CA-2014-104269,2014-03-06,2014-03-06,Second Class,DB-13060,DB-13060A6
CA-2016-114104,2016-11-24,2016-11-24,Standard Class,NP-18670,NP-18670A1
CA-2016-162733,2016-05-12,2016-05-12,First Class,TT-21070,TT-21070A1
CA-2015-119697,2015-12-31,2015-12-31,Second Class,EM-13960,EM-13960A4
CA-2016-154508,2016-11-20,2016-11-20,Standard Class,RD-19900,RD-19900A1
CA-2016-113817,2016-11-11,2016-11-11,Standard Class,MJ-17740,MJ-17740A4
CA-2014-139892,2014-09-12,2014-09-12,Standard Class,BM-11140,BM-11140A1
CA-2014-118962,2014-08-09,2014-08-09,Standard Class,CS-12130,CS-12130A3
US-2014-100853,2014-09-19,2014-09-19,Standard Class,JB-15400,JB-15400A1
US-2017-152366,2017-04-25,2017-04-25,Second Class,SJ-20500,SJ-20500A2
US-2015-101511,2015-11-23,2015-11-23,Second Class,JE-15745,JE-15745A8
CA-2015-137225,2015-12-19,2015-12-19,Standard Class,JK-15640,JK-15640A3
CA-2014-166191,2014-12-09,2014-12-09,Second Class,DK-13150,DK-13150A1
CA-2014-158274,2014-11-24,2014-11-24,Second Class,RM-19675,RM-19675A5
CA-2016-105018,2016-12-02,2016-12-02,Standard Class,SK-19990,SK-19990A3
CA-2014-123260,2014-08-30,2014-08-30,Standard Class,FM-14290,FM-14290A4
CA-2016-157000,2016-07-22,2016-07-22,Standard Class,AM-10360,AM-10360A1
CA-2015-102281,2015-10-14,2015-10-14,First Class,MP-17470,MP-17470A3
CA-2015-131457,2015-11-06,2015-11-06,Standard Class,MZ-17515,MZ-17515A6
